frame_idx,module_a,module_b,module_c,module_d,total
0,0.006874814,0.019928675,0.001288848,0.339088213,0.367378510
1,0.000770140,0.053788233,0.021591008,0.028059951,0.104253719
2,0.001041158,0.050706007,0.013454995,0.026935686,0.092176791
3,0.000366381,0.041791437,0.012152707,0.030014232,0.084359990
4,0.001006149,0.063258600,0.009547170,0.027149166,0.100999646
5,0.000908225,0.032089669,0.011689201,0.027143310,0.071863655
6,0.000901953,0.042884181,0.011670577,0.027593759,0.083089255
7,0.001015366,0.034777513,0.012498767,0.027954796,0.076279947
8,0.000909570,0.030252513,0.011905274,0.027749892,0.070852545
9,0.000890048,0.039099017,0.011622990,0.028062544,0.079707530
10,0.000926626,0.040024107,0.011728083,0.028449022,0.081165503
11,0.000890049,0.031623540,0.012050271,0.028679879,0.073276283
12,0.000898529,0.028316729,0.011996317,0.029194010,0.070440594
13,0.000906050,0.027853320,0.011736435,0.029470628,0.070002178
14,0.000897217,0.032852130,0.012076767,0.029845810,0.075702389
15,0.000901953,0.028044527,0.011553388,0.029489925,0.070021634
16,0.000889505,0.044190182,0.012292296,0.029146744,0.086555111
17,0.001103433,0.054076915,0.013586039,0.030871320,0.099676302
18,0.001086408,0.044616341,0.011998780,0.029825969,0.087563245
19,0.000911650,0.028228022,0.011918938,0.029547655,0.070640217
20,0.000895713,0.038853088,0.016317661,0.030298947,0.086399617
21,0.000919394,0.030665776,0.012517904,0.036246047,0.080391075
22,0.001109673,0.034471357,0.013027587,0.031406284,0.080050038
23,0.001116202,0.052652511,0.015164466,0.030765236,0.099734544
24,0.001096713,0.045651260,0.012736792,0.031485294,0.091009261
25,0.001391572,0.032231114,0.014999691,0.032085605,0.080741776
26,0.001360978,0.060219480,0.014971819,0.032133607,0.108725853
27,0.001016710,0.033857735,0.012972097,0.032310253,0.080193180
28,0.000993573,0.058531225,0.012208453,0.031922079,0.103691298
29,0.001382611,0.041909073,0.014787364,0.032175208,0.090289938
30,0.000346445,0.015184915,0.009372347,0.032452786,0.057393231
31,0.000353741,0.023046710,0.009968369,0.033143020,0.066545794
32,0.000359630,0.019438064,0.011467336,0.032819488,0.064117576
33,0.000351341,0.024717300,0.009831021,0.033522714,0.068460233
34,0.000354861,0.039580827,0.012309032,0.034643908,0.086922677
35,0.000869280,0.055952249,0.010401057,0.033470521,0.100728181
36,0.000341324,0.026335728,0.008856264,0.034826987,0.070414321
37,0.000335469,0.033718977,0.014385973,0.033411574,0.081886394
38,0.001084200,0.037612722,0.013209225,0.035729836,0.087670353
39,0.001441717,0.044712824,0.011023352,0.034666373,0.091883693
40,0.001435989,0.025365676,0.014802724,0.034457341,0.076096771
41,0.001423157,0.034162610,0.011411430,0.034575649,0.081604272
42,0.000360910,0.022212503,0.009236471,0.034882636,0.066728265
43,0.000383118,0.016397152,0.009125074,0.034979793,0.060921105
44,0.000363214,0.016265915,0.009815692,0.035435009,0.061917303
45,0.000364078,0.015940943,0.009402013,0.035374591,0.061117369
46,0.000353998,0.018876604,0.009203413,0.036156252,0.064639996
47,0.000346829,0.024954045,0.009438878,0.035901235,0.070673659
48,0.000370478,0.024257315,0.009165652,0.036209694,0.070038883
49,0.000359917,0.026950535,0.009013582,0.036140892,0.072501343
50,0.000361102,0.023141754,0.009384540,0.036610157,0.069533137
51,0.000365934,0.022796813,0.009162484,0.037750359,0.070111910
52,0.000356558,0.023675917,0.009813324,0.037048573,0.070927524
53,0.000995077,0.056893500,0.012375082,0.038050498,0.108351375
54,0.000332205,0.026251437,0.008756836,0.037265605,0.072637892
55,0.000366349,0.035531141,0.009038671,0.037354729,0.082322219
56,0.000364397,0.032185768,0.009263736,0.037442315,0.079289275
57,0.000356334,0.017848245,0.008909739,0.043471051,0.070619481
58,0.000362509,0.048559848,0.009115602,0.038366350,0.096443126
59,0.000350125,0.039720799,0.009181940,0.038719067,0.088010653
60,0.000366669,0.014817830,0.009234198,0.038825023,0.063277449
61,0.000355245,0.047036175,0.010126104,0.039085224,0.096637405
62,0.000364046,0.055354755,0.009061776,0.039061863,0.103880233
63,0.000352493,0.022845326,0.009674119,0.039857061,0.072762152
64,0.000355501,0.048276477,0.009206517,0.039735040,0.097608865
65,0.000346412,0.035103125,0.009092753,0.039881190,0.084458810
66,0.000353325,0.039851781,0.009702728,0.040419034,0.090362228
67,0.000346861,0.053160594,0.009092081,0.040148431,0.102782433
68,0.000343949,0.012675254,0.009328858,0.039885574,0.062265987
69,0.000337581,0.025444079,0.011943514,0.040047756,0.077804131
70,0.000365101,0.022959795,0.009227318,0.041109395,0.073699435
71,0.000336748,0.025951330,0.009706536,0.040838313,0.076864289
72,0.000357038,0.025780475,0.009342715,0.041777196,0.077292016
73,0.000340557,0.025471984,0.009006542,0.041719721,0.076572086
74,0.000354221,0.030396326,0.009094065,0.041335100,0.081213665
75,0.000358669,0.040891755,0.009086608,0.041851439,0.092227290
76,0.000342892,0.048716077,0.009460671,0.042370498,0.100924764
77,0.000347053,0.027504315,0.009242199,0.057909634,0.095039426
78,0.000354413,0.046307284,0.009728328,0.043227810,0.099656205
79,0.000363949,0.026377873,0.009639590,0.043422217,0.079841486
80,0.000358669,0.084636576,0.009083281,0.043014778,0.137130201
81,0.000350253,0.033523451,0.008863336,0.043327526,0.086099414
82,0.000418192,0.042047862,0.008951659,0.043476139,0.094932894
83,0.000352717,0.033093546,0.009074993,0.043673234,0.086229595
84,0.000367118,0.049114492,0.008999886,0.043276196,0.101791996
85,0.000357293,0.048864691,0.008906250,0.044506641,0.102669884
86,0.000370766,0.015077679,0.009087089,0.044537746,0.069106017
87,0.000368110,0.041070482,0.008935563,0.044034784,0.094441643
88,0.000374862,0.040003883,0.008932715,0.044673336,0.094022108
89,0.000357837,0.016773070,0.009116146,0.044885983,0.071167918
90,0.000357005,0.032802464,0.009050736,0.045642779,0.087888760
91,0.000348429,0.030203551,0.009139219,0.045231116,0.084955468
92,0.000361326,0.043122782,0.009062288,0.045557368,0.098136244
93,0.000361518,0.035477923,0.009182740,0.047383195,0.092439970
94,0.000365229,0.034827530,0.009037263,0.048246779,0.092512644
95,0.000363246,0.018969631,0.009604996,0.046312404,0.075285094
96,0.000358445,0.032886594,0.009072208,0.047107058,0.089457331
97,0.000351853,0.015043022,0.009948080,0.046265298,0.071641438
98,0.000367021,0.034678533,0.009170388,0.049148317,0.093402373
99,0.000359565,0.053688550,0.009100305,0.046805222,0.109987499
100,0.000353837,0.026278221,0.008874664,0.046750596,0.082291785
101,0.000347309,0.024493388,0.008739588,0.047029999,0.080642284
102,0.000357742,0.045549432,0.008990701,0.049366853,0.104305625
103,0.000348077,0.012230821,0.009094865,0.048111127,0.069824315
104,0.000354285,0.032543382,0.008864585,0.047858221,0.089653594
105,0.000354989,0.041118067,0.008806054,0.047219350,0.097532158
106,0.000357070,0.051230442,0.008881737,0.048074165,0.108577976
107,0.000353870,0.025784763,0.008877737,0.048962230,0.084012297
108,0.000349389,0.028673831,0.008708195,0.048537095,0.086302654
109,0.000368078,0.030407591,0.008851464,0.049092124,0.088753945
110,0.000354478,0.048447107,0.008747108,0.048725997,0.106308260
111,0.000361070,0.041746475,0.008694946,0.048766191,0.099603531
112,0.000352461,0.026665276,0.008649472,0.048967511,0.084669985
113,0.000346956,0.039724928,0.008728867,0.049745747,0.098583813
114,0.000397166,0.025746202,0.008717539,0.049467081,0.084356982
115,0.000361581,0.042680493,0.008672802,0.050143458,0.101892735
116,0.000343148,0.017796307,0.008782086,0.049969596,0.076919426
117,0.000354829,0.054812943,0.009548097,0.050627028,0.115377587
118,0.001381939,0.048835026,0.009088049,0.051990086,0.111326718
119,0.000368205,0.059821448,0.009001037,0.050579091,0.119802743
120,0.000365262,0.052827750,0.008725859,0.051581720,0.113534319
121,0.000355533,0.063573268,0.009162036,0.051629529,0.124752398
122,0.000263754,0.034800041,0.008507932,0.052140972,0.095746300
123,0.000269354,0.022710121,0.009034223,0.051646874,0.083695069
124,0.000268810,0.051262572,0.008478010,0.051983271,0.112026999
125,0.000255241,0.018839354,0.008782181,0.052117067,0.080026549
126,0.000250249,0.052487577,0.009342523,0.057495762,0.119616177
127,0.000261513,0.029154328,0.008939980,0.052924073,0.091314808
128,0.000343117,0.047871790,0.012048799,0.052898280,0.113196770
129,0.000348013,0.024361671,0.009680775,0.053436156,0.087863255
130,0.000347245,0.040555839,0.009600228,0.052621438,0.103157071
131,0.000358029,0.035124182,0.008932395,0.053112657,0.097562847
132,0.000354061,0.033817861,0.008876617,0.053391803,0.096472983
133,0.000353549,0.010569575,0.008727619,0.053632004,0.073317533
134,0.000348269,0.038271786,0.008999597,0.053769033,0.101422990
135,0.000335468,0.044682295,0.009979729,0.054040754,0.109071209
136,0.000335757,0.026480181,0.008819686,0.056825817,0.092493028
137,0.000353933,0.054653385,0.009899183,0.054269435,0.119209185
138,0.000346861,0.033508538,0.009558563,0.054877617,0.098323036
139,0.000351213,0.056059677,0.008870825,0.055544427,0.120864671
140,0.000278250,0.054759405,0.008684385,0.055702384,0.119460363
141,0.000275019,0.051937989,0.009169620,0.055544138,0.116962798
142,0.000354894,0.031372170,0.009042223,0.055419366,0.096226798
143,0.000359661,0.060802541,0.009263543,0.056915997,0.127378960
144,0.000355693,0.029154008,0.009008653,0.056960766,0.095514676
145,0.000352749,0.051045731,0.013742718,0.059987919,0.125164638
146,0.000359021,0.027926891,0.009367867,0.056514958,0.094202147
147,0.000354573,0.038803934,0.013048836,0.057465265,0.109704546
148,0.000356013,0.039695007,0.012310440,0.056872891,0.109269361
149,0.000344300,0.021353719,0.009971378,0.057062658,0.088764921
150,0.000357933,0.023308544,0.010283037,0.057319532,0.091303320
151,0.000358605,0.025547059,0.009117586,0.058466583,0.093523210
152,0.000342541,0.027612543,0.009702663,0.058927271,0.096621052
153,0.000349293,0.043292452,0.009757130,0.059422426,0.112853846
154,0.000356462,0.033617310,0.009834764,0.059692612,0.103538813
155,0.000357549,0.029103575,0.009833932,0.059748422,0.099077047
156,0.000351469,0.046380759,0.009373179,0.060135125,0.116272917
157,0.000345645,0.020745857,0.009161844,0.060313691,0.090599613
158,0.000349805,0.018949150,0.009183924,0.060712458,0.089227114
159,0.000352237,0.025951874,0.009397756,0.059544767,0.095281643
160,0.000340141,0.029373921,0.009118642,0.060175190,0.099046550
161,0.000353485,0.030331300,0.009316825,0.059625185,0.099661869
162,0.000350733,0.036481416,0.009812876,0.062157823,0.108840929
163,0.000341677,0.008756676,0.009180084,0.060533155,0.078841865
164,0.000344493,0.027825928,0.009220341,0.060268281,0.097692580
165,0.000351277,0.029712141,0.008812806,0.061320768,0.100229698
166,0.000350829,0.025927392,0.009482719,0.061206652,0.096998603
167,0.000354541,0.028339514,0.008900778,0.061145626,0.098773324
168,0.000348941,0.015905869,0.008816391,0.061456197,0.086559016
169,0.000353389,0.014367253,0.008840103,0.062153087,0.085746345
170,0.000351085,0.017560426,0.009998002,0.061648589,0.089592696
171,0.000350029,0.025103042,0.008995054,0.061546857,0.096031495
172,0.000345516,0.031375722,0.008965580,0.061878869,0.102601050
173,0.000353517,0.039219309,0.009086769,0.062392680,0.111090356
174,0.000338572,0.021243539,0.009438206,0.064006980,0.095063266
175,0.000341581,0.028967314,0.009074320,0.064082055,0.102497878
176,0.000359597,0.027322708,0.009157844,0.064363505,0.101238727
177,0.000351085,0.030968891,0.010070774,0.065150478,0.106576877
178,0.000353357,0.016211417,0.012324905,0.065886346,0.094812569
179,0.000358829,0.034847787,0.009119890,0.063931681,0.108296397
180,0.000364525,0.022495713,0.009322937,0.064501750,0.096718432
181,0.000349325,0.025569108,0.010151224,0.064220844,0.100326245
182,0.000364077,0.030529579,0.008764965,0.064258349,0.103951340
183,0.000362254,0.022940178,0.008953484,0.064209516,0.096498808
184,0.000359886,0.024105405,0.008941580,0.064119528,0.097560607
185,0.000354573,0.026105575,0.008868809,0.064563480,0.099924823
186,0.000355117,0.027806823,0.009446270,0.064273646,0.101918464
187,0.000338637,0.038410671,0.009250838,0.065062507,0.113096575
188,0.001355570,0.032335918,0.009169716,0.065663073,0.108559191
189,0.000354573,0.044537235,0.009540033,0.065421624,0.119887418
190,0.000359597,0.026292430,0.008972397,0.066099569,0.101759995
191,0.000355021,0.035992790,0.008786470,0.065708099,0.110876940
192,0.000354797,0.034407003,0.009429822,0.066228598,0.110452860
193,0.000347469,0.034885357,0.008848936,0.066569379,0.110685413
194,0.000350413,0.034061998,0.008791238,0.072158354,0.115401492
195,0.000346316,0.029693740,0.009422270,0.067523558,0.107022430
196,0.000348429,0.023105721,0.008786533,0.067308830,0.099583690
197,0.000344461,0.022783853,0.008773573,0.067343360,0.099280831
198,0.000342893,0.018244485,0.008719715,0.067787696,0.095129381
199,0.000349741,0.024529741,0.008829447,0.068819927,0.102563833
200,0.000355437,0.017429446,0.008863945,0.067597897,0.094281478
201,0.000354445,0.017131418,0.008752260,0.067844146,0.094117151
202,0.000352909,0.021444858,0.008776613,0.068358981,0.098965811
203,0.000353901,0.045053958,0.009509696,0.069254983,0.124204955
204,0.000347149,0.035124694,0.008963308,0.069802139,0.114272586
205,0.000363950,0.021232659,0.009153683,0.070924932,0.101710745
206,0.000346573,0.021113166,0.009091793,0.070931460,0.101516657
207,0.000350317,0.026907237,0.009149235,0.070242699,0.106694994
208,0.000352333,0.014287794,0.009543681,0.068999677,0.093216926
209,0.000360013,0.030090652,0.008582142,0.071428407,0.110496958
210,0.001404500,0.037354760,0.008671777,0.069975873,0.117444351
211,0.000267626,0.057622999,0.008867624,0.070124422,0.136919057
212,0.000363822,0.013743229,0.008712674,0.070100261,0.092954741
213,0.000358702,0.035407520,0.009776682,0.070153383,0.115735041
214,0.000358286,0.021504765,0.008766085,0.070423570,0.101086594
215,0.000359277,0.052440408,0.009118546,0.077502680,0.139458256
216,0.000364301,0.033391125,0.009608516,0.075658516,0.119057723
217,0.000360237,0.046828039,0.008616991,0.077944872,0.133788189
218,0.000907073,0.033549435,0.008666497,0.073256667,0.116414074
219,0.000900129,0.053385242,0.008813127,0.072060206,0.135200786
220,0.000365069,0.041354557,0.008752388,0.070941700,0.121448277
221,0.000353517,0.043315941,0.008403768,0.073095861,0.125203263
222,0.000264682,0.032763230,0.008411319,0.071772963,0.113246532
223,0.000277547,0.059101230,0.008406520,0.072612258,0.140430516
224,0.000269130,0.049785877,0.008455162,0.072358137,0.130905810
225,0.000271082,0.069364170,0.008470137,0.072177266,0.150314337
226,0.000276106,0.022784589,0.008392855,0.073111541,0.104601827
227,0.000282475,0.024988606,0.008411704,0.072914350,0.106630319
228,0.000271818,0.038041698,0.008464506,0.073653417,0.120463440
229,0.000284106,0.010947254,0.008387191,0.073649609,0.093303010
230,0.000292427,0.035153046,0.008604127,0.073009490,0.117094259
231,0.000281578,0.022418782,0.008393975,0.073245018,0.104375388
232,0.000269706,0.041401310,0.008995661,0.074995195,0.125693554
233,0.000275978,0.018145313,0.008415480,0.074578155,0.101447791
234,0.000266825,0.059815880,0.008462170,0.077011110,0.145586547
235,0.000287915,0.035248090,0.008439193,0.076882337,0.120888895
236,0.000264074,0.023714767,0.008348854,0.075105343,0.107465614
237,0.000353773,0.068133820,0.008866056,0.093136796,0.170524751
238,0.000372238,0.026601754,0.009750922,0.076532980,0.113291686
239,0.000356141,0.036822677,0.008667553,0.075447212,0.121321775
240,0.000364110,0.042727087,0.008703074,0.075887676,0.127715517
241,0.000325612,0.029265948,0.012064255,0.076594582,0.118286335
242,0.000297323,0.020095113,0.009500896,0.076065379,0.105988984
243,0.000278346,0.031766298,0.008581566,0.076251561,0.116912172
244,0.000362989,0.026100263,0.008484187,0.076861568,0.111843024
245,0.000272490,0.018921053,0.008338485,0.077431285,0.104994258
246,0.000262985,0.014795108,0.008368886,0.080649325,0.104108818
247,0.000267305,0.039239118,0.008361814,0.077895334,0.125797334
248,0.000266954,0.025978691,0.008335893,0.077795299,0.112412358
249,0.000510771,0.013340815,0.008363574,0.078623649,0.100875162
250,0.000262826,0.038785149,0.008479994,0.078043308,0.125607470
251,0.000263210,0.018605809,0.008353814,0.077987114,0.105241019
252,0.000262634,0.038222505,0.008637248,0.078100206,0.125255937
253,0.000279435,0.034601346,0.008434169,0.079714762,0.123067024
254,0.000263369,0.015098191,0.008346197,0.082428462,0.106167934
255,0.000258473,0.047473088,0.008305044,0.081229186,0.137298912
256,0.000267178,0.025749018,0.008390167,0.082801437,0.117241944
257,0.000263018,0.018655572,0.008385334,0.079353468,0.106687921
258,0.000263146,0.014186190,0.008477306,0.079519426,0.102476341
259,0.000271018,0.036285440,0.008703011,0.079524579,0.124816305
260,0.000264265,0.022180950,0.008385591,0.079568804,0.110432092
261,0.000268618,0.019314508,0.008581342,0.081958205,0.110155922
262,0.000264650,0.031474830,0.008400983,0.080679630,0.120856030
263,0.000259530,0.031212773,0.008459417,0.080742416,0.120705913
264,0.000259913,0.022746411,0.008525596,0.097467644,0.129031949
265,0.000378894,0.017426182,0.008754596,0.080650444,0.107244517
266,0.000361069,0.032630937,0.009640581,0.084528924,0.127192297
267,0.000350125,0.025890848,0.009026703,0.082007967,0.117308059
268,0.000353549,0.026690141,0.008878057,0.083682877,0.119637841
269,0.000288619,0.016692203,0.011919226,0.082485137,0.111417057
270,0.000263786,0.031230726,0.009135250,0.082010558,0.122671714
271,0.000258250,0.025572915,0.008578621,0.084267794,0.118707598
272,0.000252777,0.043509613,0.008759364,0.083704861,0.136256600
273,0.000458385,0.010331135,0.008765829,0.082992227,0.102579801
274,0.000252266,0.016903410,0.008710243,0.082734522,0.108630937
275,0.000258025,0.017912696,0.008842439,0.083097608,0.110148338
276,0.000253929,0.012079360,0.008451513,0.083422675,0.104239126
277,0.000256873,0.035269882,0.008531196,0.083308975,0.127399344
278,0.000270794,0.047234935,0.008466522,0.083386642,0.139392141
279,0.000254794,0.012065023,0.008648641,0.083776256,0.104776587
280,0.000255210,0.021517437,0.009121042,0.086482949,0.117411423
281,0.000274826,0.027345557,0.008662465,0.083874083,0.120190150
282,0.000361038,0.022456384,0.008907466,0.084775909,0.116544223
283,0.000258922,0.017442726,0.008479450,0.084902698,0.111113461
284,0.000257674,0.012605203,0.008851560,0.084888937,0.106634543
285,0.000252425,0.034736935,0.008961548,0.085697736,0.129685894
286,0.000260458,0.030743475,0.008460761,0.086327263,0.125827734
287,0.000261801,0.022251384,0.008643393,0.084956716,0.116144815
288,0.000257354,0.033780004,0.008385879,0.085296857,0.127752030
289,0.000260873,0.017269088,0.008578462,0.085516641,0.111659274
290,0.000271946,0.033012647,0.008516124,0.086002291,0.127838497
291,0.000258890,0.010512582,0.008435480,0.085984242,0.105220539
292,0.000254666,0.027915530,0.008906506,0.094687477,0.131798612
293,0.000354253,0.014846886,0.008936363,0.086028339,0.110197300
294,0.000349613,0.024094972,0.008565597,0.086802513,0.119848345
295,0.000253833,0.043862842,0.008448217,0.086808721,0.139406926
296,0.000254793,0.029168505,0.008927787,0.087028057,0.125412743
297,0.000352877,0.037343432,0.008535580,0.087613199,0.133876385
298,0.000254890,0.033792932,0.008587902,0.088135234,0.130802223
299,0.000275658,0.026435411,0.009034095,0.087699762,0.123477663
300,0.000262154,0.024626736,0.008894825,0.092951060,0.126769337
301,0.000346221,0.029888756,0.008736068,0.088008669,0.127014818
